year,school,pct_white,pct_black,pct_hispanic,pct_asian,pct_pi,pct_aian,pct_multi
2020,Carrboro High,71.14,3.73,12.69,5.22,0.00,0.00,7.21
2020,Chapel Hill High,64.81,4.15,10.59,13.88,0.00,0.29,6.29
2020,East Chapel Hill High,59.07,2.97,7.22,23.94,0.00,0.28,6.52
